# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.00045                 	smoothSolver	5.2525899999999997e-03	4.5824500000000001e-08	2	4.3433100000000004e-03	3.7311500000000003e-08	2	4.3294700000000002e-03	3.7456299999999998e-08	2	false	smoothSolver	3.4059799999999999e-03	2.2590700000000001e-08	2	true	smoothSolver	7.7018900000000003e-03	4.9801200000000001e-08	2	true	GAMG	9.7029999999999998e-03	4.8673999999999999e-04	1	true
0.00046                 	smoothSolver	5.2332999999999998e-03	4.5528700000000001e-08	2	4.3220500000000000e-03	3.7089399999999997e-08	2	4.3084100000000004e-03	3.7239099999999999e-08	2	false	smoothSolver	3.3524200000000001e-03	2.2145500000000001e-08	2	true	smoothSolver	7.5112900000000003e-03	4.8343700000000003e-08	2	true	GAMG	9.4643899999999996e-03	4.7563899999999998e-04	1	true
0.00047                 	smoothSolver	5.2141399999999999e-03	4.5239900000000001e-08	2	4.3013100000000000e-03	3.6871800000000003e-08	2	4.2877799999999997e-03	3.7026700000000002e-08	2	false	smoothSolver	3.3009500000000000e-03	2.1716600000000000e-08	2	true	smoothSolver	7.3300700000000002e-03	4.6916899999999997e-08	2	true	GAMG	9.2394399999999998e-03	4.6516599999999998e-04	1	true
0.00048                 	smoothSolver	5.1949600000000002e-03	4.4954799999999997e-08	2	4.2810399999999998e-03	3.6660099999999998e-08	2	4.2678000000000004e-03	3.6820100000000000e-08	2	false	smoothSolver	3.2515000000000000e-03	9.8816200000000001e-06	1	true	smoothSolver	7.1577100000000003e-03	4.5586299999999998e-08	2	true	GAMG	9.0097900000000002e-03	4.5308200000000000e-04	1	true
0.00049                 	smoothSolver	5.1758400000000001e-03	4.4675500000000002e-08	2	4.2612900000000000e-03	3.6454100000000002e-08	2	4.2482900000000001e-03	3.6615400000000002e-08	2	false	smoothSolver	3.2040400000000000e-03	9.7118599999999999e-06	1	true	smoothSolver	6.9935500000000003e-03	4.4371400000000003e-08	2	true	GAMG	8.8024499999999999e-03	4.4329900000000003e-04	1	true
0.0005                  	smoothSolver	5.1569700000000003e-03	4.4403300000000000e-08	2	4.2419500000000004e-03	3.6250899999999999e-08	2	4.2293299999999999e-03	3.6417000000000001e-08	2	false	smoothSolver	3.1583800000000001e-03	9.5459499999999996e-06	1	true	smoothSolver	6.8370100000000001e-03	4.3183300000000000e-08	2	true	GAMG	8.6102499999999998e-03	4.3537099999999999e-04	1	true
0.00051                 	smoothSolver	5.1382399999999996e-03	4.4136900000000001e-08	2	4.2230100000000001e-03	3.6051899999999999e-08	2	4.2107899999999998e-03	3.6221499999999998e-08	2	false	smoothSolver	3.1143700000000000e-03	9.3889799999999997e-06	1	true	smoothSolver	6.6875399999999996e-03	4.2075599999999997e-08	2	true	GAMG	8.4217600000000004e-03	4.2601599999999998e-04	1	true
0.00052                 	smoothSolver	5.1196300000000000e-03	4.3875199999999998e-08	2	4.2045299999999997e-03	3.5857199999999999e-08	2	4.1927199999999996e-03	3.6033100000000001e-08	2	false	smoothSolver	3.0719699999999998e-03	9.2388200000000001e-06	1	true	smoothSolver	6.5450200000000004e-03	4.0988800000000000e-08	2	true	GAMG	8.2495799999999994e-03	4.1932900000000002e-04	1	true
0.00053                 	smoothSolver	5.1009599999999999e-03	4.3615399999999999e-08	2	4.1865799999999996e-03	3.5665200000000000e-08	2	4.1749200000000004e-03	3.5847100000000002e-08	2	false	smoothSolver	3.0311499999999998e-03	9.0888199999999998e-06	1	true	smoothSolver	6.4089699999999999e-03	3.9972999999999997e-08	2	true	GAMG	8.0840800000000004e-03	4.1235300000000001e-04	1	true
0.00054                 	smoothSolver	5.0823800000000001e-03	4.3361199999999998e-08	2	4.1689700000000001e-03	3.5477699999999999e-08	2	4.1576499999999997e-03	3.5666100000000002e-08	2	false	smoothSolver	2.9918000000000002e-03	8.9465399999999992e-06	1	true	smoothSolver	6.2790199999999997e-03	3.8997600000000001e-08	2	true	GAMG	7.9051799999999995e-03	4.0188300000000001e-04	1	true
0.00055                 	smoothSolver	5.0638400000000000e-03	4.3108800000000002e-08	2	4.1517000000000004e-03	3.5297299999999998e-08	2	4.1404900000000001e-03	3.5488500000000000e-08	2	false	smoothSolver	2.9537999999999999e-03	8.8084399999999996e-06	1	true	smoothSolver	6.1546999999999999e-03	3.8050799999999997e-08	2	true	GAMG	7.7442500000000003e-03	3.9441100000000000e-04	1	true
