# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.00047                 	smoothSolver	4.0310600000000004e-03	6.6223100000000002e-08	2	3.6297500000000002e-03	5.1952400000000003e-08	2	3.6777400000000001e-03	5.1394300000000000e-08	2	false	smoothSolver	4.6402700000000002e-03	2.8166100000000001e-08	2	true	smoothSolver	1.9289400000000002e-02	1.1136200000000000e-07	2	true	GAMG	1.2822300000000000e-02	6.8484100000000005e-04	1	true
0.00048                 	smoothSolver	3.9770300000000003e-03	6.4494400000000003e-08	2	3.5952200000000001e-03	5.1294999999999997e-08	2	3.6437000000000002e-03	5.0739700000000000e-08	2	false	smoothSolver	4.6084699999999999e-03	2.7882000000000001e-08	2	true	smoothSolver	1.8878400000000000e-02	1.0873600000000000e-07	2	true	GAMG	1.2478000000000000e-02	6.6711600000000004e-04	1	true
0.00049                 	smoothSolver	3.9266900000000000e-03	6.2877599999999994e-08	2	3.5631999999999999e-03	5.0688999999999998e-08	2	3.6112100000000001e-03	5.0130900000000002e-08	2	false	smoothSolver	4.5770300000000002e-03	2.7684000000000002e-08	2	true	smoothSolver	1.8484100000000000e-02	1.0626900000000000e-07	2	true	GAMG	1.2175300000000000e-02	6.5291899999999996e-04	1	true
0.0005                  	smoothSolver	3.8799199999999998e-03	6.1398400000000000e-08	2	3.5318799999999998e-03	5.0116200000000001e-08	2	3.5796500000000002e-03	4.9543600000000002e-08	2	false	smoothSolver	4.5459599999999999e-03	2.7438399999999999e-08	2	true	smoothSolver	1.8105699999999999e-02	1.0403500000000000e-07	2	true	GAMG	1.1897599999999999e-02	6.3719999999999998e-04	1	true
0.00051                 	smoothSolver	3.8361699999999999e-03	6.0017500000000001e-08	2	3.5023699999999999e-03	4.9567100000000002e-08	2	3.5495300000000000e-03	4.8966700000000001e-08	2	false	smoothSolver	4.5152600000000001e-03	2.7225699999999999e-08	2	true	smoothSolver	1.7742100000000000e-02	1.0172900000000000e-07	2	true	GAMG	1.1641600000000000e-02	6.2313300000000000e-04	1	true
0.00052                 	smoothSolver	3.7945600000000002e-03	5.8724300000000000e-08	2	3.4736799999999998e-03	4.9025200000000001e-08	2	3.5204199999999998e-03	4.8418600000000003e-08	2	false	smoothSolver	4.4849000000000000e-03	2.6994800000000000e-08	2	true	smoothSolver	1.7392399999999999e-02	9.9632199999999999e-08	2	true	GAMG	1.1433900000000000e-02	6.1049900000000002e-04	1	true
0.00053                 	smoothSolver	3.7552800000000002e-03	5.7509899999999998e-08	2	3.4460099999999998e-03	4.8515100000000000e-08	2	3.4919999999999999e-03	4.7905900000000000e-08	2	false	smoothSolver	4.4549000000000004e-03	2.6758800000000001e-08	2	true	smoothSolver	1.7056000000000002e-02	9.7457300000000000e-08	2	true	GAMG	1.1235900000000000e-02	6.0199899999999998e-04	1	true
0.00054                 	smoothSolver	3.7180799999999999e-03	5.6347600000000001e-08	2	3.4193800000000001e-03	4.8026999999999997e-08	2	3.4646299999999998e-03	4.7431499999999997e-08	2	false	smoothSolver	4.4252299999999996e-03	2.6548500000000001e-08	2	true	smoothSolver	1.6732000000000000e-02	9.5497400000000006e-08	2	true	GAMG	1.1055100000000000e-02	5.9366200000000001e-04	1	true
0.00055                 	smoothSolver	3.6825400000000002e-03	5.5242900000000002e-08	2	3.3933800000000001e-03	4.7555300000000001e-08	2	3.4384699999999999e-03	4.6978699999999997e-08	2	false	smoothSolver	4.3959100000000003e-03	2.6312500000000002e-08	2	true	smoothSolver	1.6419699999999999e-02	9.3631000000000000e-08	2	true	GAMG	1.0850900000000000e-02	5.8305900000000003e-04	1	true
0.00056                 	smoothSolver	3.6484199999999999e-03	5.4189800000000000e-08	2	3.3681499999999999e-03	4.7098299999999999e-08	2	3.4132799999999999e-03	4.6534999999999999e-08	2	false	smoothSolver	4.3669199999999998e-03	2.6133200000000001e-08	2	true	smoothSolver	1.6118700000000000e-02	9.1776899999999996e-08	2	true	GAMG	1.0662300000000000e-02	5.7063199999999995e-04	1	true
